XLabel,Wavenumber;;;;;;;;;
YLabel,Absorbance;;;;;;;;;
FileType,Absorbance;;;;;;;;;
DisplayDirection,20300;;Palha de cana de açúcar;;Bagaço de Malte;;Casca de babaçu;;Cana energia;
PeakDirection,20310;;;;;;;;;
847.969358,0.111810;;847,969358;0,11181;847,969358;0,114096;847,969358;0,049917;847,969358;0,084608
849.833027,0.110928;;849,833027;0,110928;849,833027;0,114312;849,833027;0,050195;849,833027;0,084687
851.696696,0.110313;;851,696696;0,110313;851,696696;0,114264;851,696696;0,05054;851,696696;0,084817
853.560365,0.110248;;853,560365;0,110248;853,560365;0,114174;853,560365;0,050866;853,560365;0,085201
855.424034,0.110344;;855,424034;0,110344;855,424034;0,114284;855,424034;0,050926;855,424034;0,085818
857.287703,0.110613;;857,287703;0,110613;857,287703;0,114419;857,287703;0,051129;857,287703;0,086546
859.151371,0.110949;;859,151371;0,110949;859,151371;0,114684;859,151371;0,05165;859,151371;0,08722
861.015040,0.111516;;861,01504;0,111516;861,01504;0,115022;861,01504;0,052151;861,01504;0,088227
862.878709,0.112484;;862,878709;0,112484;862,878709;0,115214;862,878709;0,052421;862,878709;0,089248
864.742378,0.113636;;864,742378;0,113636;864,742378;0,115641;864,742378;0,052557;864,742378;0,090007
866.606047,0.114671;;866,606047;0,114671;866,606047;0,116268;866,606047;0,052909;866,606047;0,090558
868.469716,0.115846;;868,469716;0,115846;868,469716;0,116865;868,469716;0,05364;868,469716;0,091032
870.333385,0.117120;;870,333385;0,11712;870,333385;0,117201;870,333385;0,05397;870,333385;0,091375
872.197054,0.118660;;872,197054;0,11866;872,197054;0,117886;872,197054;0,054251;872,197054;0,091572
874.060723,0.120506;;874,060723;0,120506;874,060723;0,118984;874,060723;0,054856;874,060723;0,092003
875.924392,0.122477;;875,924392;0,122477;875,924392;0,120251;875,924392;0,055489;875,924392;0,092616
877.788061,0.124442;;877,788061;0,124442;877,788061;0,121162;877,788061;0,056004;877,788061;0,093027
879.651730,0.126626;;879,65173;0,126626;879,65173;0,12238;879,65173;0,056641;879,65173;0,093712
881.515399,0.129426;;881,515399;0,129426;881,515399;0,124058;881,515399;0,057621;881,515399;0,095011
883.379067,0.133095;;883,379067;0,133095;883,379067;0,126119;883,379067;0,058694;883,379067;0,096744
885.242736,0.137438;;885,242736;0,137438;885,242736;0,128607;885,242736;0,059748;885,242736;0,098634
887.106405,0.142114;;887,106405;0,142114;887,106405;0,131297;887,106405;0,061116;887,106405;0,100898
888.970074,0.146912;;888,970074;0,146912;888,970074;0,13381;888,970074;0,062577;888,970074;0,103311
890.833743,0.151646;;890,833743;0,151646;890,833743;0,135982;890,833743;0,063841;890,833743;0,105739
892.697412,0.155393;;892,697412;0,155393;892,697412;0,137902;892,697412;0,064884;892,697412;0,10767
894.561081,0.157646;;894,561081;0,157646;894,561081;0,139242;894,561081;0,065481;894,561081;0,108882
896.424750,0.158135;;896,42475;0,158135;896,42475;0,139689;896,42475;0,065536;896,42475;0,10934
898.288419,0.157009;;898,288419;0,157009;898,288419;0,13959;898,288419;0,065184;898,288419;0,108737
900.152088,0.154790;;900,152088;0,15479;900,152088;0,138669;900,152088;0,064409;900,152088;0,107287
902.015757,0.152155;;902,015757;0,152155;902,015757;0,13756;902,015757;0,063538;902,015757;0,105569
903.879426,0.150056;;903,879426;0,150056;903,879426;0,136532;903,879426;0,062771;903,879426;0,103605
905.743094,0.149401;;905,743094;0,149401;905,743094;0,135533;905,743094;0,062183;905,743094;0,102029
907.606763,0.149926;;907,606763;0,149926;907,606763;0,134783;907,606763;0,061751;907,606763;0,101363
909.470432,0.151282;;909,470432;0,151282;909,470432;0,13468;909,470432;0,061628;909,470432;0,101576
911.334101,0.152919;;911,334101;0,152919;911,334101;0,134985;911,334101;0,061885;911,334101;0,101901
913.197770,0.154472;;913,19777;0,154472;913,19777;0,135714;913,19777;0,0622;913,19777;0,102156
915.061439,0.155228;;915,061439;0,155228;915,061439;0,136622;915,061439;0,062337;915,061439;0,102651
916.925108,0.155351;;916,925108;0,155351;916,925108;0,137783;916,925108;0,062491;916,925108;0,103404
918.788777,0.155424;;918,788777;0,155424;918,788777;0,139331;918,788777;0,062925;918,788777;0,104343
920.652446,0.155953;;920,652446;0,155953;920,652446;0,14116;920,652446;0,063405;920,652446;0,105597
922.516115,0.157096;;922,516115;0,157096;922,516115;0,142942;922,516115;0,063976;922,516115;0,106938
924.379784,0.158651;;924,379784;0,158651;924,379784;0,144933;924,379784;0,064775;924,379784;0,108055
926.243453,0.160565;;926,243453;0,160565;926,243453;0,147127;926,243453;0,065596;926,243453;0,109186
928.107121,0.163175;;928,107121;0,163175;928,107121;0,149593;928,107121;0,066376;928,107121;0,110764
929.970790,0.166078;;929,97079;0,166078;929,97079;0,152234;929,97079;0,06718;929,97079;0,112455
931.834459,0.169275;;931,834459;0,169275;931,834459;0,15521;931,834459;0,068063;931,834459;0,11407
933.698128,0.172854;;933,698128;0,172854;933,698128;0,158355;933,698128;0,068882;933,698128;0,115677
935.561797,0.176575;;935,561797;0,176575;935,561797;0,161883;935,561797;0,069919;935,561797;0,117376
937.425466,0.180220;;937,425466;0,18022;937,425466;0,165818;937,425466;0,071159;937,425466;0,119115
939.289135,0.184139;;939,289135;0,184139;939,289135;0,17002;939,289135;0,072381;939,289135;0,121061
941.152804,0.188116;;941,152804;0,188116;941,152804;0,1747;941,152804;0,073673;941,152804;0,123456
943.016473,0.192208;;943,016473;0,192208;943,016473;0,179725;943,016473;0,075036;943,016473;0,126173
944.880142,0.196400;;944,880142;0,1964;944,880142;0,184733;944,880142;0,076353;944,880142;0,128927
946.743811,0.200769;;946,743811;0,200769;946,743811;0,189981;946,743811;0,077844;946,743811;0,132111
948.607480,0.205223;;948,60748;0,205223;948,60748;0,19511;948,60748;0,07943;948,60748;0,135554
950.471148,0.209754;;950,471148;0,209754;950,471148;0,200145;950,471148;0,081128;950,471148;0,139167
952.334817,0.214312;;952,334817;0,214312;952,334817;0,204903;952,334817;0,083003;952,334817;0,14303
954.198486,0.218752;;954,198486;0,218752;954,198486;0,209449;954,198486;0,084854;954,198486;0,1472
956.062155,0.222778;;956,062155;0,222778;956,062155;0,213854;956,062155;0,086662;956,062155;0,151323
957.925824,0.226626;;957,925824;0,226626;957,925824;0,218146;957,925824;0,088442;957,925824;0,155344
959.789493,0.230085;;959,789493;0,230085;959,789493;0,222081;959,789493;0,090066;959,789493;0,159154
961.653162,0.233294;;961,653162;0,233294;961,653162;0,225903;961,653162;0,091713;961,653162;0,162847
963.516831,0.236184;;963,516831;0,236184;963,516831;0,229365;963,516831;0,0931;963,516831;0,166372
965.380500,0.238829;;965,3805;0,238829;965,3805;0,232616;965,3805;0,094409;965,3805;0,169836
967.244169,0.241172;;967,244169;0,241172;967,244169;0,235666;967,244169;0,095709;967,244169;0,173085
969.107838,0.243414;;969,107838;0,243414;969,107838;0,238912;969,107838;0,096997;969,107838;0,17625
970.971507,0.245398;;970,971507;0,245398;970,971507;0,24227;970,971507;0,098273;970,971507;0,179388
